48000	48000	3840	103	3451.8	192.344980
96000	96000	3840	272	5204.8	143.302375
144000	144000	3840	463	6874.7	84.342506
192000	192000	3840	682	8306.9	136.929996
240000	240000	3840	942	9393.3	139.675558
288000	288000	3840	1265	10069.8	158.572505
336000	336000	3840	1646	10535.8	139.614811
384000	384000	3840	2072	10929.0	129.258184
48000	48000	3840	103	3419.3	182.711973
96000	96000	3840	279	5080.6	134.153834
144000	144000	3840	464	6858.3	83.534040
192000	192000	3840	681	8309.8	140.110850
240000	240000	3840	943	9380.9	131.994306
288000	288000	3840	1265	10068.0	163.684417
336000	336000	3840	1646	10533.8	145.201769
384000	384000	3840	2073	10923.7	126.639104
48000	48000	3840	102	3475.4	177.608552
96000	96000	3840	278	5099.5	126.658884
144000	144000	3840	463	6880.1	83.516157
192000	192000	3840	676	8380.3	195.188599
240000	240000	3840	949	9323.4	255.346142
288000	288000	3840	1286	9909.8	264.361871
336000	336000	3840	1677	10339.5	252.866560
384000	384000	3840	2099	10790.8	192.746869
48000	48000	3840	101	3490.9	170.619324
96000	96000	3840	278	5092.8	122.550326
144000	144000	3840	464	6859.0	92.011892
192000	192000	3840	670	8451.5	201.198187
240000	240000	3840	944	9367.3	266.151517
288000	288000	3840	1272	10012.8	239.089913
336000	336000	3840	1648	10522.5	229.563657
384000	384000	3840	2065	10967.9	156.486443
48000	48000	3840	102	3467.9	178.952289
96000	96000	3840	278	5090.6	128.883724
144000	144000	3840	465	6848.5	81.775311
192000	192000	3840	672	8421.4	176.823810
240000	240000	3840	947	9345.7	273.895518
288000	288000	3840	1278	9971.0	241.933941
336000	336000	3840	1653	10492.9	225.535615
384000	384000	3840	2068	10950.9	153.576525
48000	48000	3840	101	3496.2	172.059143
96000	96000	3840	277	5104.3	133.579230
144000	144000	3840	461	6901.6	80.869157
192000	192000	3840	674	8405.2	190.585793
240000	240000	3840	948	9337.3	256.538714
288000	288000	3840	1285	9917.1	281.414335
336000	336000	3840	1676	10346.5	255.013771
384000	384000	3840	2097	10798.7	196.415486
48000	48000	3840	102	3476.7	174.906743
96000	96000	3840	279	5075.2	135.952431
144000	144000	3840	471	6761.0	78.786365
192000	192000	3840	708	8002.9	186.037887
240000	240000	3840	1070	8270.2	730.145721
288000	288000	3840	1725	7386.2	1095.123854
336000	336000	3840	3031	5722.0	854.183313
384000	384000	3840	4751	4767.0	587.873600
48000	48000	3840	101	3490.7	171.997298
96000	96000	3840	278	5090.1	135.202524
144000	144000	3840	467	6825.7	84.855687
192000	192000	3840	690	8207.3	187.573494
240000	240000	3840	1025	8632.0	782.766345
288000	288000	3840	1609	7916.9	1249.463559
336000	336000	3840	2802	6188.8	975.507883
384000	384000	3840	4259	5317.7	735.333121
48000	48000	3840	101	3492.5	170.824467
96000	96000	3840	278	5092.8	129.271626
144000	144000	3840	464	6865.2	75.374834
192000	192000	3840	666	8497.5	158.224665
240000	240000	3840	930	9509.2	182.520594
288000	288000	3840	1260	10109.1	161.174798
336000	336000	3840	1668	10393.5	228.553008
384000	384000	3840	2168	10449.4	155.640441
48000	48000	3840	103	3448.7	213.757608
96000	96000	3840	278	5091.3	128.154164
144000	144000	3840	466	6840.3	70.029817
192000	192000	3840	666	8506.8	152.989479
240000	240000	3840	934	9477.2	160.631423
288000	288000	3840	1279	9963.0	238.343041
336000	336000	3840	1720	10084.0	233.718081
384000	384000	3840	2223	10186.9	232.854215
