4800	4800	3840	23	7734.9	304.181602
9600	9600	3840	69	10184.1	264.738126
14400	14400	3840	143	11172.5	188.449937
19200	19200	3840	278	10188.3	161.495018
24000	24000	3840	643	6876.0	176.088023
28800	28800	3840	1231	5173.9	118.375791
33600	33600	3840	1958	4428.1	61.549697
38400	38400	3840	2849	3974.5	53.367691
43200	43200	3840	3945	3633.4	34.177160
48000	48000	3840	5174	3419.8	36.877409
52800	52800	3840	6522	3282.7	34.118183
57600	57600	3840	8064	3160.0	27.188801
62400	62400	3840	9763	3063.1	15.533921
67200	67200	3840	11614	2986.2	16.837719
72000	72000	3840	13699	2906.3	17.570481
76800	76800	3840	15876	2853.3	13.402425
4800	4800	3840	20	8882.2	462.510794
9600	9600	3840	59	11973.1	225.125580
14400	14400	3840	125	12701.3	98.881564
19200	19200	3840	221	12797.8	37.102060
24000	24000	3840	344	12876.7	56.542913
28800	28800	3840	491	12963.7	52.206609
33600	33600	3840	670	12939.2	52.881801
38400	38400	3840	882	12838.2	42.521949
43200	43200	3840	1123	12768.4	56.400020
48000	48000	3840	1388	12747.7	47.696250
52800	52800	3840	1690	12668.0	72.134321
57600	57600	3840	2018	12626.1	85.443988
62400	62400	3840	2366	12637.4	57.876503
67200	67200	3840	2757	12578.6	51.304959
72000	72000	3840	3179	12523.2	46.616938
76800	76800	3840	3625	12496.6	25.554264
4800	4800	3840	21	8622.1	386.955696
9600	9600	3840	61	11641.0	320.038954
14400	14400	3840	128	12412.7	140.155676
19200	19200	3840	227	12460.7	169.195137
24000	24000	3840	352	12562.0	106.207817
28800	28800	3840	504	12639.1	118.543433
33600	33600	3840	681	12727.9	72.847721
38400	38400	3840	898	12612.5	80.837279
43200	43200	3840	1153	12430.7	112.772217
48000	48000	3840	1435	12327.6	197.503789
52800	52800	3840	1760	12167.2	117.917554
57600	57600	3840	2148	11861.0	109.067816
62400	62400	3840	2544	11753.0	145.865918
67200	67200	3840	3024	11467.8	146.310785
72000	72000	3840	3543	11237.5	75.747314
76800	76800	3840	4026	11252.5	98.128355
4800	4800	3840	20	9017.9	472.795824
9600	9600	3840	59	11981.4	202.189504
14400	14400	3840	128	12473.9	108.662343
19200	19200	3840	225	12587.2	125.219561
24000	24000	3840	349	12660.7	94.395248
28800	28800	3840	504	12645.2	100.907063
33600	33600	3840	683	12697.3	123.524845
38400	38400	3840	908	12469.8	186.561695
43200	43200	3840	1167	12286.1	157.703637
48000	48000	3840	1464	12084.6	197.690021
52800	52800	3840	1798	11907.4	195.347270
57600	57600	3840	2201	11576.0	139.218105
62400	62400	3840	2623	11402.7	165.869147
67200	67200	3840	3119	11117.8	172.353971
72000	72000	3840	3668	10853.7	111.684304
76800	76800	3840	4184	10827.0	73.196052
4800	4800	3840	20	8667.2	512.380225
9600	9600	3840	61	11679.6	211.569888
14400	14400	3840	129	12379.1	106.552097
19200	19200	3840	227	12481.2	142.328225
24000	24000	3840	351	12613.8	95.662252
28800	28800	3840	502	12677.7	102.950201
33600	33600	3840	678	12797.0	71.178552
38400	38400	3840	882	12846.8	70.038514
43200	43200	3840	1114	12870.1	65.547629
48000	48000	3840	1372	12899.9	66.189468
52800	52800	3840	1658	12915.2	38.168472
57600	57600	3840	1981	12860.3	68.739808
62400	62400	3840	2318	12900.2	50.964130
67200	67200	3840	2692	12883.3	65.720674
72000	72000	3840	3107	12813.5	32.316830
76800	76800	3840	3538	12802.1	59.807096
4800	4800	3840	19	9486.5	746.673752
9600	9600	3840	59	12003.3	202.098932
14400	14400	3840	127	12510.2	121.390534
19200	19200	3840	226	12543.8	173.955203
24000	24000	3840	350	12648.3	86.103072
28800	28800	3840	500	12729.9	104.887237
33600	33600	3840	676	12819.4	59.034885
38400	38400	3840	880	12867.7	51.882678
43200	43200	3840	1113	12877.3	33.315422
48000	48000	3840	1367	12947.4	50.268637
52800	52800	3840	1652	12962.4	30.381753
57600	57600	3840	1965	12969.4	30.126311
62400	62400	3840	2301	12997.8	24.611618
67200	67200	3840	2673	12976.7	31.417575
72000	72000	3840	3068	12974.9	26.862296
76800	76800	3840	3487	12991.8	20.562337
4800	4800	3840	20	8721.1	312.677073
9600	9600	3840	60	11769.8	340.611187
14400	14400	3840	129	12378.9	233.903697
19200	19200	3840	229	12351.5	161.864375
24000	24000	3840	394	11238.9	298.478752
28800	28800	3840	711	8960.4	244.268900
33600	33600	3840	1119	7746.9	167.167184
38400	38400	3840	1652	6856.7	110.038094
43200	43200	3840	2294	6247.6	100.916759
48000	48000	3840	2999	5899.5	99.695527
52800	52800	3840	3808	5623.3	66.511652
57600	57600	3840	4740	5375.6	48.049840
62400	62400	3840	5789	5165.6	39.691178
67200	67200	3840	6915	5015.2	52.999630
72000	72000	3840	8175	4870.2	44.911263
76800	76800	3840	9473	4782.0	43.520360
4800	4800	3840	19	9186.1	440.779884
9600	9600	3840	59	12016.5	309.390723
14400	14400	3840	127	12572.3	181.503787
19200	19200	3840	222	12728.4	90.762831
24000	24000	3840	345	12811.7	109.509916
28800	28800	3840	513	12416.8	213.649344
33600	33600	3840	740	11723.0	181.344474
38400	38400	3840	1011	11201.6	184.972768
43200	43200	3840	1334	10746.1	304.844781
48000	48000	3840	1697	10424.4	243.785190
52800	52800	3840	2134	10035.4	253.613114
57600	57600	3840	2561	9948.5	140.208549
62400	62400	3840	3108	9622.1	202.607022
67200	67200	3840	3692	9393.1	196.392638
72000	72000	3840	4394	9060.4	285.916809
76800	76800	3840	5080	8916.2	117.413965
