
1	64
2	39
3	26
4	11
1	9
2	17
3	16
4	9
1	3
2	4
3	2
4	1
1	3
2	4
3	2
4	1
1	12
2	28
3	13
4	7
5	4
6	2
1	10
2	28
3	13
4	6
5	4
6	2
1	14
2	29
3	12
4	7
5	4
6	1
1	7
2	28
3	13
4	7
5	4
6	2
1	8
2	28
3	14
4	7
5	3
6	2
1	7
2	27
3	13
4	6
5	3
6	2
1	7
2	26
3	13
4	7
5	3
6	1
1	7
2	26
3	13
4	7
5	3
6	2
1	6
2	26
3	13
4	6
5	3
6	2
1	7
2	27
3	12
4	7
5	3
6	1
1	4
1	14
1	12
2	27
3	13
4	6
5	3
6	1
1	7
2	27
3	12
4	6
5	3
6	2
1	8
2	27
3	12
4	6
5	4
6	2
1	8
2	27
3	12
4	7
5	3
6	1
1	11
2	27
3	13
4	7
5	3
6	2
1	9
2	27
3	13
4	6
5	3
6	1
1	7
2	26
3	12
4	6
5	3
6	2
1	7
2	27
3	12
4	6
5	3
6	2
1	7
2	26
3	12
4	6
5	3
6	2
1	6
2	27
3	13
4	6
5	4
6	2
1	8741
2	16354
3	4938
4	1503
5	665
6	295
7	112
8	9
9	61
11	31
12	10
13	11
14	13
15	20
1	3886
2	15219
3	4565
4	1446
5	647
6	286
7	113
8	9
9	56
11	31
12	10
13	10
14	13
15	19
1	3877
2	14732
3	4768
4	1426
5	644
6	282
7	107
8	8
9	56
11	30
12	14
13	11
14	16
15	21
1	3850
2	14301
3	4545
4	1408
5	639
6	280
7	108
8	8
9	60
11	29
12	9
13	10
14	12
15	20
1	3855
2	14182
3	4464
4	1408
5	634
6	280
7	105
8	8
9	59
11	29
12	9
13	9
14	13
15	18
1	3832
2	14390
3	4513
4	1417
5	635
6	283
7	106
8	8
9	56
11	30
12	9
13	10
14	13
15	19
1	3825
2	14279
3	4477
4	1422
5	639
6	283
7	105
8	7
9	62
11	30
12	9
13	9
14	13
15	18
1	3833
2	14191
3	4501
4	1420
5	645
6	287
7	107
8	8
9	61
11	30
12	9
13	10
14	14
15	19
1	3734
2	14149
3	4463
4	1418
5	642
6	283
7	107
8	8
9	60
11	30
12	9
13	9
14	13
15	19
1	3728
2	14049
3	4451
4	1411
5	634
6	280
7	104
8	8
9	59
11	29
12	9
13	9
14	13
15	19
1	442
2	570
3	172
4	56
5	25
6	2
7	10
8	5
9	3
10	2
11	3
13	11
1	489
2	45
3	1413
4	844
5	653
6	562
7	476
8	433
9	360
10	333
11	271
12	252
13	197
14	161
15	126
16	90
17	91
18	56
19	59
20	30
21	29
22	16
23	6
24	8
25	81
26	67
27	63
28	65
29	45
30	23
31	15
32	15
33	6
34	36
35	8
36	4
37	4
39	8
40	6
41	8
42	8
43	11
44	9
45	10
1	545
2	88
3	44
4	1043
5	1129
6	219
7	87
8	58
9	44
10	35
11	39
12	25
13	120
14	130
15	8
16	9
17	44
18	9
19	7
20	5
21	19
22	19
23	8
24	4
25	17
26	15
27	9
28	4
29	5
30	7
31	4
32	6
33	4
34	5
35	5
36	3
37	4
38	3
39	3
40	4
42	6
43	6
1	7569
1	50388
1	52308
1	52938
1	55
2	6
1	56
2	5
1	62
2	5
1	56
2	31
3	18
4	9
5	21
1	65
2	6
1	283
2	88
1	283
2	136
3	112
4	73
5	82
1	1855
1	403
2	103
3	66
4	42
5	39
1	756
2	202
3	116
1	63
2	28
3	26
1	71
2	35
3	20
1	70
2	17
1	6845
2	206
3	1256
4	295
5	95
6	82
7	62
8	49
1	72
2	26
1	77
2	33
