14400	14400	3840	18431	86.4
14400	14400	3840	15853	100.5
14400	14400	3840	13595	117.1
14400	14400	3840	12014	132.6
14400	14400	3840	9415	169.1
14400	14400	3840	7370	216.1
14400	14400	3840	5188	307.0
14400	14400	3840	3959	402.3
14400	14400	3840	3542	449.6
14400	14400	3840	3531	451.1
14400	14400	3840	10185	156.4
14400	14400	3840	10622	149.9
14400	14400	3840	10620	149.9
14400	14400	3840	8315	191.5
14400	14400	3840	3296	483.1
14400	14400	3840	3123	509.9
14400	14400	3840	3112	511.7
14400	14400	3840	3430	464.2
14400	14400	3840	3268	487.3
14400	14400	3840	3256	489.1
14400	14400	3840	13276	120.0
14400	14400	3840	11391	139.8
14400	14400	3840	6844	232.7
14400	14400	3840	6033	264.0
14400	14400	3840	4217	377.6
14400	14400	3840	3327	478.6
14400	14400	3840	3085	516.2
14400	14400	3840	2824	564.0
14400	14400	3840	2944	540.9
14400	14400	3840	2824	564.0
14400	14400	3840	11772	135.3
14400	14400	3840	9965	159.8
14400	14400	3840	8372	190.2
14400	14400	3840	4494	354.3
14400	14400	3840	3779	421.4
14400	14400	3840	3354	474.9
14400	14400	3840	3033	525.0
14400	14400	3840	2912	547.0
14400	14400	3840	2856	557.6
14400	14400	3840	2824	564.0
14400	14400	3840	10647	149.6
14400	14400	3840	10820	147.2
14400	14400	3840	10865	146.6
14400	14400	3840	10887	146.3
14400	14400	3840	3484	457.1
14400	14400	3840	3112	511.7
14400	14400	3840	3112	511.7
14400	14400	3840	3112	511.7
14400	14400	3840	3112	511.7
14400	14400	3840	3112	511.7
14400	14400	3840	12717	125.2
14400	14400	3840	10681	149.1
14400	14400	3840	10150	156.9
14400	14400	3840	10184	156.4
14400	14400	3840	10137	157.1
14400	14400	3840	3751	424.5
14400	14400	3840	7238	220.0
14400	14400	3840	3655	435.7
14400	14400	3840	3541	449.7
14400	14400	3840	3541	449.7
