4800	426	86.5
9600	1564	188.6
14400	3698	269.2
19200	13784	171.2
24000	44329	104.0
28800	95095	83.7
33600	172133	73.5
4800	351	104.9
9600	1209	244.0
14400	2937	338.9
19200	6390	369.3
24000	12724	362.2
28800	21834	364.7
33600	37927	333.4
4800	381	96.7
9600	1313	224.7
14400	3328	299.1
19200	6770	348.5
24000	13760	334.9
28800	25440	313.0
33600	41920	301.6
4800	364	101.4
9600	1292	228.3
14400	3257	305.6
19200	6864	343.7
24000	12916	356.8
28800	24207	328.9
33600	39422	320.8
4800	398	92.7
9600	1299	227.1
14400	3003	331.5
19200	9771	241.5
24000	25068	183.8
28800	47938	166.1
33600	79717	158.6
4800	351	104.9
9600	1199	246.0
14400	2903	342.9
19200	10197	231.4
24000	25542	180.4
28800	48082	165.6
33600	79204	159.7
4800	364	101.4
9600	1292	228.3
14400	3257	305.6
19200	6641	355.3
24000	11239	410.0
28800	18591	428.3
33600	30191	418.8
