10	0	0	0	0	417	22	492
20	481	0	0	481	9040	103	10036
30	2768	0	0	2768	52107	275	58813
40	8450	2	0	8452	185919	742	213330
50	22564	10	0	22574	491526	1280	564621
60	51759	19	0	51778	1107833	2181	1275431
70	105153	13	0	105166	2154690	2862	2492760
80	189057	6	0	189063	3763896	4382	4381453
90	327259	2	0	327261	6235380	5781	7274632
100	544041	6	0	544047	9796598	9577	11459075
