4800	4800	3840	22	8109.0	156.377916
9600	9600	3840	65	10850.6	201.717185
14400	14400	3840	137	11609.1	202.734780
19200	19200	3840	242	11716.8	6.257080
24000	24000	3840	370	11957.2	2.431425
28800	28800	3840	524	12161.8	0.824061
33600	33600	3840	2318	3740.0	1.860925
38400	38400	3840	3015	3756.0	1.272042
43200	43200	3840	3835	3737.0	0.975808
48000	48000	3840	4733	3738.8	1.500303
52800	52800	3840	5707	3751.8	0.652145
57600	57600	3840	6789	3753.3	0.932036
62400	62400	3840	7961	3756.1	0.680421
67200	67200	3840	9224	3759.7	0.910501
72000	72000	3840	10580	3763.1	0.487487
4800	4800	3840	20	8748.5	2.509862
9600	9600	3840	65	10956.3	6.027980
14400	14400	3840	136	11704.2	4.586760
19200	19200	3840	241	11742.5	8.780834
24000	24000	3840	369	11982.8	8.382663
28800	28800	3840	523	12191.6	5.453160
33600	33600	3840	713	12153.1	4.812311
38400	38400	3840	915	12376.5	2.843932
43200	43200	3840	1153	12428.3	5.621360
48000	48000	3840	1419	12474.0	4.647804
52800	52800	3840	1711	12511.6	4.292139
57600	57600	3840	2032	12539.5	2.986144
62400	62400	3840	2382	12554.2	2.166132
67200	67200	3840	3079	11263.5	3.958249
72000	72000	3840	4007	9937.1	3.373241
4800	4800	3840	18	9619.2	11.769356
9600	9600	3840	62	11381.4	639.060173
14400	14400	3840	126	12631.6	6.766888
19200	19200	3840	226	12555.0	142.925655
24000	24000	3840	347	12751.2	89.193914
28800	28800	3840	498	12793.3	49.192631
33600	33600	3840	683	12686.6	72.713148
38400	38400	3840	937	12090.4	164.864992
43200	43200	3840	1422	10080.5	220.232733
48000	48000	3840	2102	8420.0	140.111834
52800	52800	3840	2905	7369.1	100.505390
57600	57600	3840	3888	6553.4	64.059503
62400	62400	3840	5022	5954.7	43.383415
67200	67200	3840	6296	5508.2	34.748797
72000	72000	3840	7784	5114.4	26.286016
4800	4800	3840	18	9611.0	4.546482
9600	9600	3840	59	11998.8	6.276370
14400	14400	3840	126	12606.5	9.347887
19200	19200	3840	226	12538.7	137.377403
24000	24000	3840	371	11933.8	575.135512
28800	28800	3840	538	11841.9	829.572628
33600	33600	3840	704	12324.6	342.213322
38400	38400	3840	922	12288.2	206.756472
43200	43200	3840	1322	10840.3	270.839244
48000	48000	3840	2015	8781.0	197.273340
52800	52800	3840	2777	7710.4	97.239966
57600	57600	3840	3766	6765.6	69.963813
62400	62400	3840	4923	6074.2	36.484927
67200	67200	3840	6179	5613.1	41.928301
72000	72000	3840	7695	5174.0	45.932159
4800	4800	3840	18	9616.0	4.036143
9600	9600	3840	59	12000.1	4.447179
14400	14400	3840	128	12428.1	389.039345
19200	19200	3840	222	12766.7	18.120784
24000	24000	3840	343	12897.8	16.747154
28800	28800	3840	491	12964.5	11.427597
33600	33600	3840	667	12998.5	7.883696
38400	38400	3840	871	13007.4	5.195115
43200	43200	3840	1101	13012.5	7.111911
48000	48000	3840	1364	12974.0	67.072456
52800	52800	3840	1686	12699.7	57.188419
57600	57600	3840	1980	12867.4	41.130882
62400	62400	3840	2335	12808.6	40.565942
67200	67200	3840	2738	12665.4	53.560407
72000	72000	3840	3179	12525.1	55.126854
4800	4800	3840	18	9617.0	15.056954
9600	9600	3840	59	12027.9	8.606271
14400	14400	3840	126	12628.2	4.047205
19200	19200	3840	221	12791.5	3.090531
24000	24000	3840	343	12910.4	4.935641
28800	28800	3840	491	12963.4	7.342784
33600	33600	3840	667	13007.5	4.115869
38400	38400	3840	870	13013.5	5.138892
43200	43200	3840	1102	13008.0	7.593992
48000	48000	3840	1362	12993.8	7.599832
52800	52800	3840	1684	12715.4	65.558034
57600	57600	3840	1975	12899.7	13.098081
62400	62400	3840	2334	12812.9	21.138294
67200	67200	3840	2734	12686.1	42.103895
72000	72000	3840	3172	12551.4	27.542726
