9600	9600	3840	44	15966.5	423.834957
19200	19200	3840	125	22584.5	442.844141
28800	28800	3840	262	24286.4	84.973970
38400	38400	3840	455	24904.0	58.805802
48000	48000	3840	706	25077.8	38.708739
57600	57600	3840	1029	24770.5	135.424232
67200	67200	3840	1437	24129.0	278.989905
76800	76800	3840	1951	23222.2	151.583609
86400	86400	3840	2617	21910.9	296.493829
96000	96000	3840	3386	20903.9	173.089229
9600	9600	3840	59	12025.9	503.015374
19200	19200	3840	152	18614.5	414.517585
28800	28800	3840	321	19841.9	522.027528
38400	38400	3840	691	16400.5	965.695840
48000	48000	3840	1351	13100.0	517.303275
57600	57600	3840	2264	11256.8	272.150868
67200	67200	3840	3553	9760.1	296.680985
76800	76800	3840	5316	8521.8	158.465579
86400	86400	3840	7400	7747.2	160.296740
96000	96000	3840	9894	7153.6	98.782846
