5	5926.2	110.056490	6111.8	5.087011	6114.6	159.718473	6198.1	8.074531	6324.7	10.309110
10	8866.1	5.776952	8947.7	4.719445	10229.2	9.092902	10227.8	10.965891	10224.3	13.558845
15	10194.7	3.351691	10179.1	6.625487	11603.3	7.820069	11609.1	6.658589	11551.8	7.653986
20	10806.5	9.657316	10816.6	8.090402	9947.6	322.675801	11409.3	178.532319	10947.2	129.348739
25	11289.9	2.561988	11310.7	5.144445	9010.7	178.612551	11929.4	63.999604	10311.8	205.319717
30	11616.0	2.717762	11575.0	3.651538	10269.1	551.664625	12207.7	38.195560	10942.2	551.980724
35	2639.5	3.045952	11162.0	24.642441	10666.1	410.954317	12283.5	87.802073	10727.8	599.444042
40	2667.1	2.643324	11719.7	16.091662	10524.8	368.072643	11918.1	135.738305	10506.4	250.614405
45	2657.4	2.281935	11814.2	12.873181	8746.2	254.701906	11015.9	361.343519	10746.4	364.858389
50	2694.9	1.823397	11956.2	12.661721	7444.5	212.868565	9036.5	197.585947	10720.6	327.027814
