4800	119	308.7
9600	287	1029.1
14400	476	2090.6
19200	972	2427.5
24000	1708	2698.7
28800	2770	2874.5
33600	4188	3019.0
38400	6053	3118.4
43200	8409	3196.0
48000	11359	3245.6
4800	109	338.2
9600	255	1156.1
14400	448	2219.6
19200	724	3257.6
24000	1058	4357.2
28800	2056	3872.4
33600	4056	3117.3
38400	7721	2444.8
43200	14159	1898.1
48000	24741	1490.0
4800	110	335.7
9600	252	1168.9
14400	441	2259.5
19200	715	3300.7
24000	1193	3864.2
28800	1997	3987.5
33600	2908	4347.9
38400	4173	4523.5
43200	5748	4675.8
48000	8064	4571.3
4800	121	305.8
9600	276	1070.2
14400	450	2212.0
19200	723	3264.5
24000	1119	4119.1
28800	1817	4383.3
33600	2736	4621.6
38400	3932	4800.0
43200	5375	4999.7
48000	7598	4851.9
4800	126	292.2
9600	277	1064.1
14400	458	2175.3
19200	738	3196.8
24000	1072	4297.8
28800	1559	5108.1
33600	2264	5584.6
38400	3220	5862.7
43200	4324	6214.6
48000	5855	6296.9
4800	114	323.6
9600	272	1082.9
14400	467	2133.8
19200	720	3275.6
24000	1066	4321.9
28800	1604	4964.2
33600	2254	5609.5
38400	3169	5956.1
43200	4334	6201.0
48000	5965	6180.1
4800	122	301.4
9600	276	1068.5
14400	442	2254.4
19200	835	2825.4
24000	1581	2914.2
28800	2614	3046.0
33600	4013	3151.2
38400	5851	3225.8
43200	8173	3288.1
48000	10974	3359.3
4800	126	293.2
9600	286	1032.3
14400	445	2236.7
19200	842	2801.0
24000	1587	2903.1
28800	2582	3083.9
33600	3966	3188.1
38400	5713	3304.1
43200	7983	3366.7
48000	10799	3413.7
