4800	4800	3840	22	7909.9	165.928069
9600	9600	3840	69	10254.6	41.674454
14400	14400	3840	148	10735.8	5.812367
19200	19200	3840	305	9271.6	29.574256
24000	24000	3840	461	9605.5	1.649617
28800	28800	3840	1824	3493.3	6.976116
33600	33600	3840	2472	3506.8	6.614246
38400	38400	3840	3206	3532.4	6.490092
43200	43200	3840	4056	3533.4	4.232025
48000	48000	3840	5012	3530.6	5.013435
4800	4800	3840	22	8042.8	204.404181
9600	9600	3840	67	10600.8	2.390966
14400	14400	3840	142	11189.4	2.498194
19200	19200	3840	272	10423.7	102.143088
24000	24000	3840	504	8784.1	128.115761
28800	28800	3840	903	7053.2	126.570469
33600	33600	3840	1506	5759.0	75.107879
38400	38400	3840	2432	4657.4	72.674227
43200	43200	3840	3759	3812.7	17.175701
48000	48000	3840	5736	3084.6	30.031828
4800	4800	3840	21	8457.8	151.212764
9600	9600	3840	64	11130.1	92.417694
14400	14400	3840	165	9654.3	346.378447
19200	19200	3840	443	6391.0	115.866868
24000	24000	3840	881	5019.2	53.085041
28800	28800	3840	1481	4300.6	32.767968
33600	33600	3840	2260	3836.3	37.600508
38400	38400	3840	3258	3475.7	29.598208
43200	43200	3840	4508	3179.2	29.383042
48000	48000	3840	5920	2989.2	42.098804
4800	4800	3840	22	8027.6	214.432847
9600	9600	3840	62	11332.6	163.311973
14400	14400	3840	135	11795.7	77.285938
19200	19200	3840	283	10018.1	106.723170
24000	24000	3840	602	7343.6	150.905160
28800	28800	3840	1216	5237.8	84.271686
33600	33600	3840	2163	4008.4	82.219358
38400	38400	3840	3673	3083.1	55.608972
43200	43200	3840	5918	2422.1	49.453256
48000	48000	3840	9118	1940.7	45.455676
4800	4800	3840	21	8279.4	138.986057
9600	9600	3840	62	11420.8	84.274523
14400	14400	3840	135	11800.2	77.783953
19200	19200	3840	283	10007.6	194.578952
24000	24000	3840	598	7393.9	158.465934
28800	28800	3840	1209	5268.0	75.573173
33600	33600	3840	2166	4002.3	67.133978
38400	38400	3840	3695	3065.3	65.317381
43200	43200	3840	5927	2418.4	56.811889
48000	48000	3840	9242	1914.6	49.784545
4800	4800	3840	22	8113.2	120.496516
9600	9600	3840	64	10992.1	332.516334
14400	14400	3840	131	12182.7	27.098268
19200	19200	3840	285	9931.8	348.052411
24000	24000	3840	666	6641.7	287.023179
28800	28800	3840	1404	4538.5	247.174802
33600	33600	3840	2576	3366.4	126.809815
38400	38400	3840	4252	2663.7	73.883199
43200	43200	3840	7022	2041.0	73.241976
48000	48000	3840	10964	1613.9	44.449527
4800	4800	3840	21	8473.1	80.222610
9600	9600	3840	65	10935.5	216.071804
14400	14400	3840	131	12160.1	55.934122
19200	19200	3840	297	9546.8	364.103460
24000	24000	3840	656	6747.4	306.144195
28800	28800	3840	1373	4639.7	231.327330
33600	33600	3840	2425	3576.2	188.972825
38400	38400	3840	3798	2981.6	207.182448
43200	43200	3840	7032	2038.1	62.618810
48000	48000	3840	8903	1987.6	142.372017
